pupilId,dob
665797,2003-11-08
665799,2005-10-04
665801,2004-05-01
665802,2006-10-01
665830,2003-02-22
665887,2003-03-02
666158,2003-08-17
666166,2005-02-04
666176,2005-10-14
666223,2006-10-09
666255,2009-07-07
666458,2004-06-03
666471,2004-12-12
667035,2006-01-12
667077,2008-02-25
667206,2006-12-29
667254,2005-09-08
667274,2006-04-07
667278,2006-07-18
667379,2006-05-02
667386,2007-11-14
667404,2007-06-06
667408,2002-11-12
667413,2008-08-29
667429,2003-05-10
667439,2006-02-24
667449,2007-11-19
667455,2007-08-31
667496,2005-03-09
667532,2008-03-01
667535,2003-10-22
667543,2008-08-10
667575,2004-09-26
667598,2007-04-19
667624,2006-06-22
667625,2004-09-15
667633,2008-05-16
667640,2004-07-07
667641,2006-02-21
667644,2007-05-01
667683,2006-11-17
667743,2009-04-21
668069,2007-07-03
668135,2007-01-13
668167,2007-07-18
668272,2004-11-08
668295,2003-10-16
668386,2008-04-28
668387,2007-06-29
668427,2004-06-08
668708,2008-01-28
668847,2004-02-28
669387,2007-01-15
669389,2009-02-03
669399,2004-03-21
669406,2003-05-17
669429,2008-03-23
669439,2009-06-11
669493,2005-11-20
669514,2006-10-17
669521,2006-08-13
669532,2008-05-03
669534,2003-07-11
669535,2005-07-26
669536,2003-11-09
669546,2005-08-29
669552,2006-05-13
669569,2007-12-17
669597,2004-06-03
669609,2004-07-30
669617,2005-12-06
669625,2005-08-18
669626,2003-03-26
669632,2004-04-15
669636,2003-02-18
669654,2007-01-03
669717,2008-11-23
669928,2005-05-29
669944,2007-08-06
669951,2005-12-30
669972,2006-03-13
670004,2007-08-22
670012,2006-09-24
670036,2004-08-17
670047,2006-02-13
670057,2005-04-11
670259,2002-12-31
670430,2007-02-05
670529,2008-01-30
670541,2006-02-11
670589,2003-07-08
670611,2003-11-10
671110,2007-01-03
671206,2007-09-16
671216,2005-09-24
671264,2006-08-25
671446,2003-03-23
671494,2008-06-30
671506,2003-11-10
671509,2004-05-26
671510,2004-08-18
671526,2006-04-20
671527,2006-09-12
671542,2006-03-30
671544,2007-09-19
671577,2006-08-28
671596,2007-09-27
671617,2008-04-16
671622,2007-02-09
671623,2005-05-31
671632,2004-11-24
671640,2008-11-20
671710,2005-07-15
671725,2007-04-19
671737,2005-11-10
671791,2011-08-21
671803,2008-11-18
671876,2006-09-25
671898,2008-11-01
671956,2005-06-30
671962,2005-06-30
671994,2005-02-11
672448,2005-09-01
672459,2008-07-01
672460,2006-01-03
672474,2007-06-19
672513,2008-05-30
672582,2007-11-24
672714,2005-08-01
672855,2008-07-15
672866,2009-02-15
672877,2005-04-26
673440,2003-11-26
673442,2008-04-09
673448,2003-05-08
673451,2006-07-04
673470,2000-09-16
673477,2007-01-14
673708,2002-01-18
673915,2005-09-18
673951,2006-10-09
673969,2006-05-22
673977,2010-09-20
674059,2007-07-04
674060,2005-01-30
674065,2004-05-13
674113,2003-08-07
674142,2006-06-24
674151,2005-08-20
674152,2004-11-20
674265,2007-01-11
674297,2006-08-17
674342,2005-01-02
674348,2002-03-20
674386,2008-06-06
674411,2005-08-18
674499,2003-02-20
674794,2007-10-06
674798,2007-10-06
674888,2006-10-15
674900,2005-01-24
674906,2007-09-09
674915,2005-07-12
674966,2006-06-16
675179,2007-07-20
675254,2007-03-14
675255,2007-03-14
675257,2007-07-17
675258,2004-11-11
675259,2001-03-28
675261,2006-05-31
675267,2007-02-24
675274,2007-03-09
675279,2008-06-27
675307,2008-07-28
675331,2005-11-22
675371,2007-03-24
675374,2008-07-12
675382,2004-03-25
675383,2004-03-25
675385,2006-06-23
675386,2002-10-04
675398,2005-10-01
675464,2008-06-06
675478,2004-10-28
675480,2008-04-11
675486,2008-02-20
675487,2003-02-13
675503,2006-03-05
675543,2008-06-01
675544,2003-04-13
675617,2002-10-15
675732,2004-11-06
675758,2005-12-07
675759,2005-07-30
675786,2009-05-05
675873,2005-12-01
675877,2003-12-13
675940,2006-06-22
676213,2007-07-05
676263,2005-05-12
676272,2007-10-18
676279,2006-07-22
676280,2005-04-05
676327,2005-06-21
676348,2006-08-13
676350,2004-01-01
676354,2004-11-06
676361,2004-05-10
676368,2004-06-03
676374,2005-04-24
676400,2006-10-04
676423,2005-05-09
676455,2006-06-07
676457,2006-09-25
676472,2003-11-18
676513,2006-10-23
676708,2003-08-24
676741,2007-10-22
676749,2000-08-25
676772,2005-05-19
676813,2007-02-11
676909,2008-02-27
676963,2004-11-27
676964,2008-08-20
676998,2005-07-27
677092,2006-07-09
677241,1999-05-12
677555,2003-05-06
677556,2004-07-20
677592,2009-11-28
677613,2006-08-05
677642,2006-10-09
677699,2009-10-10
677724,2006-12-26
677750,2006-03-06
677807,2005-11-23
677810,2007-05-22
677820,2009-06-16
677822,2005-01-31
677851,2006-10-23
677863,2003-09-14
677877,2005-09-04
677881,2004-10-02
677887,2006-07-06
677888,2003-09-14
677889,2005-09-04
677963,2001-09-03
678000,2005-02-23
678021,2007-05-11
678163,2011-06-26
678215,2007-05-07
678246,2008-10-02
678296,2004-02-19
678528,2003-07-03
678563,2003-08-03
681258,2004-11-12
681927,2006-05-07
681943,2007-03-30
681950,2002-07-18
681952,2004-07-10
681975,2004-03-21
682009,2008-05-21
682112,2008-02-21
682113,2003-09-23
682119,2007-10-15
682122,2007-11-04
682135,2008-07-24
682140,2006-10-22
682154,2004-06-11
682155,2001-01-11
683628,2007-09-20
683631,2009-04-23
683660,2004-05-24
683694,2004-08-17
683772,2004-07-15
683774,2007-10-10
684614,2003-09-20
684703,2007-03-02
684748,2007-07-29
684901,2003-03-16
684919,2002-10-15
684932,2007-02-25
685260,2008-09-10
685289,2007-02-12
685293,2006-07-10
685323,2005-07-21
685332,2007-12-10
688353,2005-05-14
689328,2003-10-17
690042,2002-11-12
690070,2004-02-16
690102,2007-04-16
690143,2005-01-02
690176,2003-10-23
690190,2004-11-26
690191,2006-12-08
690262,2008-01-17
690324,2007-07-27
690393,2007-05-17
690407,2007-11-12
690413,2007-06-21
690440,2009-11-02
690522,2003-11-14
690523,2006-04-03
690673,2003-11-11
690682,2005-10-30
690702,2002-08-15
690865,2006-12-21
690873,2006-06-10
690882,2006-10-05
690890,2006-06-10
690902,2006-04-25
691003,2008-04-25
691004,2006-11-22
691069,2005-10-08
691078,2006-03-21
691086,2008-11-19
691095,2008-02-10
691110,2006-10-02
691111,2006-12-22
691124,2004-01-11
691125,2007-09-24
691126,2005-06-19
691808,2003-02-02
691809,2006-11-20
691811,2004-05-14
691812,2004-05-14
692260,2003-03-15
692262,2007-09-25
692274,2003-11-07
692279,2006-09-01
692287,2005-06-04
692290,2003-02-12
692318,2007-09-02
692320,2007-10-27
692328,2001-07-04
692550,2010-04-15
692567,2007-07-24
692578,2000-05-04
692600,2004-09-11
692841,2007-03-16
693176,2004-03-11
693449,2005-07-05
693543,2004-08-25
693547,2008-01-05
693548,2006-03-13
693730,2008-09-28
693735,2006-06-27
693753,2009-01-01
693776,2006-05-10
693781,2002-03-27
693782,2004-01-29
693805,2006-10-16
693834,2007-08-17
693841,2003-01-10
693842,2004-12-22
693933,2004-02-07
693936,2003-04-04
693937,2004-05-19
694032,2007-12-17
694088,2001-07-04
694089,2002-08-17
694090,2004-08-30
694395,2008-01-02
694406,2005-08-14
694472,2004-04-27
694481,2008-09-01
694544,2004-06-20
694552,2002-05-10
694590,2005-06-03
694601,2008-02-01
694605,2008-07-15
694612,2007-10-05
694627,2003-12-11
694633,2004-01-17
694655,2008-02-13
694660,2004-03-25
694694,2007-10-16
694746,2005-03-26
694783,2007-06-04
694807,2009-08-19
694822,2007-05-18
694927,2006-12-05
694994,2009-04-08
695017,2008-07-17
695033,2006-11-24
695059,2002-06-29
695096,2007-10-02
695108,2002-10-19
695194,2005-05-01
695207,2002-03-14
695215,2005-04-04
695244,2005-11-14
695257,2007-08-09
695262,2005-08-09
695263,2008-09-14
695269,2006-06-23
695320,2007-10-27
695335,2003-04-25
695337,2002-12-10
695341,2004-02-16
695349,2008-08-09
695358,2006-05-14
695461,2006-12-28
695462,2003-09-08
695530,2006-06-24
695531,2008-07-16
695566,2005-09-28
695579,2006-10-27
695639,2008-09-20
695672,2006-12-22
695686,2007-07-16
695690,2006-08-19
695807,2003-01-19
695821,2005-11-25
695824,2007-08-23
695838,2003-08-24
695852,2007-01-12
695931,2006-08-19
695941,2002-09-16
695942,2007-12-27
695955,2005-12-17
696001,2004-10-08
696048,2007-04-19
696121,2007-02-05
696229,2007-07-09
696513,2009-06-07
696541,2008-10-06
696553,2005-01-19
696569,2005-08-13
696572,2007-12-12
696577,2007-11-17
696578,2006-11-21
696593,2009-07-26
696609,2007-06-01
696612,2012-02-16
696683,2007-08-13
696684,2004-12-30
696694,2006-01-05
696775,2008-11-18
696930,2003-12-23
696952,2007-10-03
696961,2008-01-03
696968,2009-01-26
697001,2006-01-11
697004,2008-12-10
697025,2008-03-15
697027,2004-09-26
697033,2007-08-24
697041,2006-02-16
697066,2005-01-24
697067,2007-10-12
697138,2007-11-24
697143,2005-10-04
697164,2002-09-02
697188,2005-07-16
697387,2007-08-12
697397,2003-10-25
697405,2008-07-28
697406,2005-11-16
697411,2005-10-04
697422,2006-12-10
697470,2006-09-27
697481,2006-07-08
697507,2006-11-26
697645,2004-10-14
697676,2005-10-22
697745,2009-06-01
698028,2007-06-07
698188,2007-11-06
698345,2005-09-06
698432,2008-06-21
698458,2009-02-09
698462,2006-05-24
698476,2004-06-23
698506,2005-11-11
698650,2004-10-06
698662,2005-04-09
698691,2003-01-20
698753,2007-12-14
698783,2006-01-27
699072,2002-10-25
699200,2006-07-17
699380,2007-01-07
699398,2008-10-07
699414,2005-02-25
699448,2006-09-11
699452,2009-02-15
699475,2007-01-24
699478,2005-10-18
699680,2006-07-24
699681,2003-11-10
699682,2006-07-26
699715,2001-03-12
699717,2003-09-22
699737,2005-10-12
699758,2007-07-25
699776,2007-02-02
699794,2004-12-31
699810,2007-03-15
699816,2008-05-02
699856,2003-11-06
699900,2004-07-05
700044,2007-02-01
700045,2004-01-01
700059,2008-02-04
700080,2008-08-08
700090,2008-03-26
700127,2004-05-05
700351,2010-03-30
700455,2008-08-29
700481,2006-09-01
700497,2008-01-03
700534,2006-05-16
700535,2007-02-07
700574,2005-11-30
700610,2008-03-10
700650,2006-10-14
700802,2009-08-11
700921,2008-05-10
700945,2006-09-22
700959,2010-05-19
701340,2001-05-26
701348,2007-04-17
701392,2005-09-14
701427,2006-10-01
701460,2004-02-17
701522,2005-01-13
702060,2003-08-10
702292,2005-05-09
702306,2007-02-25
702326,2008-11-04
702828,2002-11-08
703629,2002-04-12
703883,2004-11-13
703912,2005-07-09
703989,2004-07-14
705113,2003-03-17
705114,2000-12-22
705313,2006-07-03
705344,2009-04-26
705403,2009-12-22
705407,2004-03-11
705408,2004-03-11
705680,2007-10-26
706241,2008-09-28
706251,2005-05-10
706260,2003-10-17
706269,2004-12-18
706363,2010-10-29
706366,2008-05-22
706367,2003-04-02
706380,2005-11-15
706381,2003-10-01
706383,2004-12-10
706384,2006-04-26
706424,2005-09-22
706446,2008-02-08
706451,2006-12-15
706502,2006-05-21
706523,2005-06-27
706526,2005-07-11
706555,2003-12-02
706751,2005-09-20
706858,2006-12-03
706863,2006-02-03
706879,2007-02-07
707668,2006-08-28
707695,2006-02-13
707707,2005-04-21
707735,2009-07-09
707776,2006-05-25
707777,2007-04-30
707829,2006-09-18
708118,2009-01-19
708154,2002-08-03
708155,2004-02-18
708156,2005-08-16
708157,2006-11-25
708164,2003-07-05
708165,2005-04-29
708166,2007-01-28
708175,2009-05-08
708197,2007-11-07
708248,2009-06-29
708304,2006-04-24
708315,2010-10-01
708320,1997-08-03
708344,2009-09-23
708419,2007-01-23
708499,2004-03-08
708519,2004-08-03
708521,2007-08-22
708527,2002-08-11
708608,2005-11-21
708624,2006-10-08
708632,2003-12-17
708636,2008-03-27
708650,2007-01-07
708704,2008-09-04
708707,2007-08-17
708712,2007-03-05
708738,2007-12-22
708742,2003-07-13
708743,2003-09-19
708746,2005-02-15
708770,2007-05-26
708790,2008-05-07
708793,2006-07-17
708809,2001-06-20
708810,2005-05-16
708811,2003-08-13
708813,2001-01-22
708858,2006-09-24
708860,2003-12-10
708864,2008-08-01
709003,2004-02-08
709223,2005-07-14
709285,2004-05-09
709598,1997-02-28
709604,2003-01-13
709651,2007-01-23
709842,2006-12-04
709864,2008-07-21
709900,2009-06-28
709904,2006-11-18
709922,2005-10-17
709923,2009-08-17
709943,2004-09-15
709950,2006-07-11
709961,2008-04-15
709967,2010-01-31
709990,2003-11-05
709999,2007-02-21
710007,2008-11-11
710015,2009-09-18
710021,2004-09-14
710024,2008-07-01
710034,2006-05-31
710052,2005-01-25
710053,2008-02-22
710100,2008-11-14
710101,2007-01-01
710162,2007-06-07
710183,2007-06-07
710208,2009-06-03
710215,2006-03-05
710216,2008-10-29
710227,2005-03-23
710240,2008-05-20
710260,2010-03-04
710303,2006-01-26
710314,2009-02-22
710362,2008-09-29
710442,2006-05-17
710758,2003-07-09
710812,2004-03-22
710834,2007-04-20
710909,2007-07-06
710940,2004-01-17
710947,2008-07-30
710948,2008-04-01
710992,2005-07-06
711034,2006-03-07
711073,2001-12-24
711077,2003-11-27
711122,2006-07-24
711146,2007-12-19
711158,2008-01-03
711216,2009-03-27
711230,2009-06-16
711309,2008-06-25
711310,2006-08-25
711635,2008-08-28
711660,2005-08-30
711678,2003-01-14
711681,2007-01-04
711806,2006-12-10
711827,2005-10-29
711829,2009-02-25
712226,2003-10-06
712237,2007-09-29
712270,2006-07-22
712279,2008-02-10
712286,2009-03-10
712291,2003-02-15
712299,2008-03-07
712334,2006-08-08
712335,2004-10-26
712337,2006-11-17
712360,2008-01-14
712370,2004-01-01
712376,2003-11-25
712378,2007-05-09
712388,2006-10-22
712389,2006-02-22
712392,2006-11-17
712393,2007-06-20
712432,2005-06-19
712445,2005-12-23
712511,2004-12-07
712519,2008-05-15
712544,2008-06-18
712547,2004-03-15
712587,2003-11-29
712588,2009-06-24
712591,2002-05-27
712594,2004-11-18
712613,2000-06-19
712644,2007-07-04
712668,2008-02-01
712669,2006-10-23
712699,2007-04-26
712767,2008-06-23
712858,2004-08-11
712867,2005-05-29
712874,2004-04-04
712930,2007-07-05
712931,2002-09-14
713015,2003-12-02
713017,2006-11-22
713019,2003-10-19
713037,2006-07-08
713041,2003-04-09
713192,2005-03-06
713214,2006-02-26
713215,2005-07-18
713218,2006-07-10
713223,2009-03-23
713226,2009-06-19
713228,2005-12-18
713239,2008-01-23
713399,2007-05-13
713420,2006-01-03
713439,2003-12-09
713442,2007-05-28
713631,2004-11-08
713736,2006-10-17
713738,2007-06-16
713748,2006-02-20
713837,2002-12-27
713848,2005-02-14
713877,2006-03-28
713890,2006-05-10
713893,2009-03-10
713915,2008-07-24
713927,2004-04-15
713928,2007-05-16
713940,2006-01-24
713949,2008-12-07
713973,2007-05-11
713974,2007-11-30
714004,2009-01-29
714010,2008-09-03
714040,2007-06-14
714041,2007-01-05
714044,2007-06-14
714129,2007-11-12
714206,2005-12-18
714211,2007-10-07
714269,2009-02-16
714270,2009-02-13
714297,2009-03-26
714303,2008-07-02
714429,2004-06-24
714430,2007-10-13
714435,2005-07-09
714436,2007-07-07
714437,2009-02-23
714462,2007-11-17
714467,2007-03-19
714499,2006-02-08
714500,2004-05-06
714529,2007-08-02
714532,2007-02-17
714543,2005-09-21
714717,2003-01-03
714718,2006-01-22
714720,2004-09-24
714721,2002-01-26
714744,2008-01-09
714747,2006-09-08
714752,2007-09-10
714794,2005-12-16
714802,2007-04-05
714814,2003-07-07
714866,2009-01-17
714867,2007-03-09
714885,2006-06-01
715093,2004-09-05
715108,2006-03-23
715269,2003-09-25
715270,2002-05-25
715273,2008-04-10
715277,2005-03-10
715506,2006-08-21
715536,2003-06-23
715544,2007-10-27
715680,2007-10-12
715776,2005-11-25
715782,2007-11-12
715805,2005-12-20
715846,2003-09-23
715866,2004-11-04
715984,2005-06-11
715988,2007-10-20
716228,2009-01-14
716229,2005-02-16
716757,2004-01-03
716761,2007-03-23
716934,2007-12-09
717108,2006-01-27
717111,2004-02-09
717114,2006-11-10
717119,2009-02-06
717128,2006-06-05
717156,2005-01-02
717209,2007-06-28
717215,2006-03-20
717218,2002-09-30
717234,2007-11-20
717310,2003-09-08
717314,2009-05-17
717324,2009-05-17
717350,2007-02-27
717836,2006-09-18
717902,2005-12-19
718061,2005-01-06
718070,2008-11-22
718081,2006-01-12
718112,2006-09-21
718127,2006-02-19
718211,2006-04-05
718267,2005-02-11
718457,2008-02-04
718482,2006-09-15
718499,2007-06-25
718626,2005-12-05
718642,2004-07-03
719023,2007-09-21
719057,2006-03-14
719173,2006-11-08
719179,2008-09-07
719190,2008-08-17
719209,2003-06-21
719212,2007-10-23
719382,2009-01-18
719385,2003-09-19
720223,2004-12-10
720232,2006-12-14
720249,2009-11-16
720257,2009-10-22
720324,2006-05-21
720383,2007-12-03
720386,2006-06-15
720391,2005-08-29
720394,2004-02-04
720395,2004-08-26
720396,2004-10-14
720397,2007-11-02
720426,2006-07-24
720449,2004-08-23
720454,2006-08-13
720462,2005-02-22
720649,2005-07-04
720654,2005-02-27
720657,2006-10-05
720699,2007-02-28
720703,2009-07-03
720923,2008-09-29
721270,2005-06-23
721392,2006-12-13
721571,2004-08-14
721596,2009-03-24
721602,2006-02-20
722261,2008-09-01
722561,2001-02-21
722577,2007-08-20
722674,2009-01-20
723081,2007-03-22
723114,2005-11-16
723725,2009-01-26
723775,2008-09-29
723778,2006-08-10
723881,2003-03-24
723890,2007-10-12
724292,2006-12-11
724318,2006-09-29
724324,2005-08-18
724330,2008-11-22
724332,2004-10-16
724338,2008-10-22
724343,2005-10-29
724487,2005-04-15
724525,2009-08-11
724619,2008-01-08
724622,2007-05-16
724638,2007-06-17
724663,2008-01-21
725005,2001-02-14
725018,2004-02-25
725222,2005-06-15
725262,2009-05-13
725294,2008-11-14
725297,2005-08-25
725384,2007-02-13
725786,2003-09-29
725899,2006-02-24
726276,2004-08-10
726333,2009-10-23
726418,2004-12-24
726501,2006-03-06
726503,2001-12-30
726675,2006-09-16
726681,2009-09-24
726694,2007-06-22
726729,2006-10-21
727365,2008-05-20
727366,2007-05-15
727367,2008-06-04
727379,2008-07-07
727453,2008-05-09
727811,2006-03-09
727825,2004-05-03
727827,2005-11-24
727908,2005-07-09
728033,2001-02-21
728059,2004-04-23
728112,2006-08-04
728142,2005-01-16
728177,2009-09-24
728181,2005-07-06
728184,2003-01-23
728190,2003-11-14
728200,2006-11-23
728211,2008-01-21
728234,2009-02-09
728237,2007-10-26
728376,2009-08-06
728390,2002-12-05
728396,2008-09-16
728411,2008-06-22
728417,2001-07-01
728763,2005-05-15
728839,2007-08-11
728966,2007-07-22
729065,2005-10-24
729082,2007-06-12
729105,2008-06-09
729123,2008-02-07
729149,2009-06-18
729172,2006-01-30
729176,2005-07-30
729177,2007-08-07
729570,2007-01-19
729654,2005-07-14
729660,2004-11-16
729767,2007-01-16
729894,2007-07-05
729895,2007-07-05
729956,2004-09-11
729968,2007-10-02
729971,2005-09-20
730000,2008-01-06
730454,2001-06-18
730455,2007-01-12
730510,2007-10-22
730511,2002-09-22
730635,2003-10-24
730651,2006-12-29
730663,2007-11-05
730755,2007-12-18
730769,2008-07-13
730935,2005-02-18
731273,2000-09-17
731276,2006-12-30
731588,2005-12-11
731589,2003-12-13
732234,2006-10-04
732258,2007-12-11
732359,2010-05-27
732403,2008-05-27
732437,2004-05-09
732664,2008-07-01
732672,2005-01-25
732673,2005-01-25
732688,2005-05-21
732741,2004-10-02
732769,2007-03-13
732817,2008-01-02
732842,2009-07-04
732859,2008-02-27
732885,2006-08-02
732894,2005-01-14
732896,2006-11-20
732913,2005-06-08
733145,2006-03-24
733301,2007-10-11
733487,2003-05-05
733505,2008-10-24
733507,2006-01-30
733794,2006-06-29
734126,2007-05-14
734303,2006-08-02
734351,2006-06-07
734431,2008-05-21
734597,2006-07-11
734612,2009-09-20
734746,2007-01-18
734889,1998-05-07
735069,2009-03-11
735106,2007-05-19
735310,2005-03-02
735499,2004-04-18
735622,2005-10-05
735639,2009-05-26
735648,2001-08-17
735723,2006-01-23
735752,2005-09-11
736043,2008-06-18
736071,2004-02-19
736202,2008-05-07
736204,2009-01-16
736635,2002-02-14
736664,2008-09-29
736779,2008-09-29
736893,2008-03-18
736942,2009-07-20
737005,2006-05-08
737036,2007-09-25
737049,2008-11-09
737222,2004-03-22
737331,2009-06-23
737363,2005-06-30
737433,2008-11-01
737448,2005-04-18
737449,2005-06-09
737481,2007-08-23
737482,2007-11-15
737483,2007-11-15
737486,2009-01-09
737487,2009-04-05
737498,2005-06-17
737499,2005-06-17
737502,2008-12-03
737511,2007-12-15
737572,2005-05-23
737600,2005-12-08
737603,2009-03-02
737609,2007-06-30
737616,2010-12-11
737634,2006-10-11
737639,2009-08-11
737640,2004-10-15
737641,2003-07-16
737644,2005-08-30
737752,2006-05-28
737753,2008-07-30
737774,2005-05-10
737950,2006-04-08
738353,2005-10-07
738512,2006-04-28
738522,2005-04-03
738534,2006-05-07
738724,2007-03-01
738745,2004-03-01
738883,2009-04-19
739058,2008-02-12
739119,2005-12-04
739173,2008-11-16
739182,2005-10-24
739318,2009-09-23
739328,2003-12-29
739412,2005-07-12
739467,2006-07-15
739486,2010-05-09
739498,2009-06-17
739499,1997-09-12
739532,2005-12-27
739580,2005-12-07
739592,2008-09-11
739596,2005-06-16
739661,2010-06-07
739934,2009-05-29
740021,2008-04-11
740027,2004-02-20
740029,2006-10-30
740031,2006-05-28
740038,2007-12-02
740044,2006-02-17
740047,2008-12-21
740049,2004-03-29
740053,2006-12-03
740054,2008-09-26
740055,2006-11-09
740059,2005-01-05
740066,2006-09-27
740193,2005-05-23
740194,2001-11-19
740202,2005-12-13
740215,2007-02-26
740224,2004-10-22
740250,2008-06-12
740662,2009-08-02
740730,2007-01-01
740744,2006-06-19
740920,2007-07-03
740922,2009-05-08
740923,2008-09-22
741071,2002-07-22
741094,2007-12-13
741109,2005-08-17
741163,2002-06-27
741401,2005-10-28
741430,2010-01-25
741445,2005-07-21
741457,2004-07-03
741838,2008-05-19
741850,2003-02-13
741889,2007-12-07
741898,2006-04-02
741974,2005-08-22
742193,2009-01-15
742244,2008-12-05
742374,2006-12-25
742380,2009-01-03
742393,2008-06-23
742408,2008-01-16
742430,2009-02-18
742433,2009-04-11
742453,2007-04-02
742456,2007-12-15
742583,2009-04-01
742643,2004-07-12
742667,2007-03-06
742727,2009-04-02
742762,2011-03-26
742766,2007-12-05
742773,2006-05-01
742774,2005-10-18
742808,2006-11-06
742831,2004-08-01
742996,2004-01-01
743073,2003-07-11
743074,2005-04-22
743265,2010-06-08
743287,2007-07-28
743302,2007-06-05
743327,2007-07-14
743333,2008-02-06
743399,2007-10-31
743439,2005-11-08
743440,2009-05-24
743561,2010-01-29
743570,2002-02-13
743575,2006-11-22
743581,2006-05-11
743584,2005-07-30
743705,2007-11-12
743779,2007-09-30
743798,2006-08-19
743836,2008-08-19
743872,2009-10-08
743966,2007-02-11
743988,2001-09-19
744057,2008-06-13
744066,2006-04-13
744076,2005-07-20
744197,2009-01-23
744208,2004-10-22
744213,2009-04-30
744230,2006-09-29
744245,2006-03-22
744253,2006-12-22
744293,2006-12-04
744357,2008-06-19
744358,2005-06-11
744410,2007-10-05
744423,2004-11-25
744424,2006-08-15
744425,2006-11-09
744428,2007-12-30
744465,2008-04-01
744484,2004-07-28
744495,2006-01-12
744521,2007-09-01
744532,2010-05-05
744645,2007-06-01
744646,2004-09-04
744728,2008-07-15
744760,2007-07-11
745515,2008-01-09
745550,2008-07-25
745622,2008-12-01
745746,2006-09-11
745769,2006-09-13
745810,2009-10-24
746066,2004-03-26
746198,2007-10-20
746220,2006-07-03
746222,2009-05-19
746232,2009-03-11
746375,2008-06-23
746422,2009-11-01
746460,2007-10-15
746571,2009-01-17
746618,2007-09-27
746619,2009-09-13
746634,2004-01-28
747055,2004-05-17
747091,2009-05-04
747092,2007-10-31
747099,2010-02-24
747143,2007-01-02
